Data1,,,Data2,,,Data3,,,Data4,,,Data5,
Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) 
4.13283048,0,,,,,,,,,,,,
4.209082296,0,,,,,,,,,,,,
4.27389634,0,,,,,,,,,,,,
4.331085202,0,,,,,,,,,,,,
4.399711837,0,,,,,,,,,,,,
4.483588835,0,,,,,,,,,,,,
4.55602806,0,,,,,,,,,,,,
4.636092467,0,,,,,,,,,,,,
4.700906511,0,,,,,,,,,,,,
4.773345736,0,,,,,,,,,,,,
4.880098279,0,,,,,,,,,,,,
4.971600458,0,,,,,,,,,,,,
5.066915229,0,,,,,,,,,,,,
5.16604259,0,,,,,,,,,,,,
5.265169951,0,,,,,,,,,,,,
5.337609176,0,,,,,,,,,,,,
5.417673583,0,,,,,,,,,,,,
5.490112808,0,,,,,,,,,,,,
5.566364625,0,,,,,,,,,,,,
5.642616441,0,,,,,,,,,,,,
5.73411862,0,,,,,,,,,,,,
5.806557846,0,,,,,,,,,,,,
5.867559298,0,,,,,,,,,,,,
5.947623705,0,,,,,,,,,,,,
6.01625034,0,,,,,,,,,,,,
6.077251793,0,,,,,,,,,,,,
6.149691018,0,,,,,,,,,,,,
6.210692471,0,,,,,,,,,,,,
6.279319106,0,,,,,,,,,,,,
6.34413315,0,,,,,,,,,,,,
6.424197557,0,,,,,,,,,,,,
6.504261964,0,,,,,,,,,,,,
6.569076007,0,,,,,,,,,,,,
6.656765596,0,,,,,,,,,,,,
6.752080366,0,,,,,,,,,,,,
6.828332182,0,,,,,,,,,,,,
6.916021771,0,,,,,,,,,,,,
6.973210633,0,,,,,,,,,,,,
7.049462449,0,,,,,,,,,,,,
7.118089084,0,,,,,,,,,,,,
7.182903128,0,,,,,,,,,,,,
7.270592716,0,,,,,,,,,,,,
7.343031942,0,,,,,,,,,,,,
7.419283758,0,,,,,,,,,,,,
7.499348165,0,,,,,,,,,,,,
7.57178739,0,,,,,,,,,,,,
7.636601434,0,,,,,,,,,,,,
7.693790296,0,,,,,,,,,,,,
7.792917657,0,,,,,,,,,,,,
7.907295381,0,,,,,,,,,,,,
7.979734607,0,,,,,,,,,,,,
8.044548651,0,,,,,,,,,,,,
8.101737513,0,,,,,,,,,,,,
8.166551556,0,,,,,,,,,,,,
8.246615963,0,,,,,,,,,,,,
8.303804826,0,,,,,,,,,,,,
8.376244051,0,,,,,,,,,,,,
8.437245504,0,,,,,,,,,,,,
8.51349732,0,,,,,,,,,,,,
8.585936545,0,,,,,,,,,,,,
8.666000952,0,,,,,,,,,,,,
8.780378677,0,,,,,,,,,,,,
8.906194173,0,,,,,,,,,,,,
9.009134125,0,,,,,,,,,,,,
9.089198532,0,,,,,,,,,,,,
9.157825167,0,,,,,,,,,,,,
9.222639211,0,,,,,,,,,,,,
9.302703618,0,,,,,,,,,,,,
9.394205797,0,,,,,,,,,,,,
9.45520725,0,,,,,,,,,,,,
9.539084248,0,,,,,,,,,,,,
9.611523473,0,,,,,,,,,,,,
9.683962698,0,,,,,,,,,,,,
9.73733897,0,,,,,,,,,,,,
9.805965604,0,,,,,,,,,,,,
9.908905556,0,,,,,,,,,,,,
10.02709587,0,,,,,,,,,,,,
10.12622323,0,,,,,,,,,,,,
10.20628764,0,,,,,,,,,,,,
10.29016464,0,,,,,,,,,,,,
10.36260386,0,,,,,,,,,,,,
10.43504309,0,,,,,,,,,,,,
10.49223195,0,,,,,,,,,,,,
10.56085858,0,,,,,,,,,,,,
10.62186004,0,,,,,,,,,,,,
10.68286149,0,,,,,,,,,,,,
10.75911331,0,,,,,,,,,,,,
10.83917771,0,,,,,,,,,,,,
